"PopDensity","Under18","MeanMaxTemp","MeanMaxRelHum","MeanMinRelHum","MeanMeanAbsHum","Lat","looic","p_loo"
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3433.9537099095,48.1167664754796
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3435.98854742192,43.8611181576806
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3435.6645303906,43.830549080235
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3437.54773811691,40.105521062921
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3440.59311905882,44.1677184714554
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3442.68207452978,40.1814354625304
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3442.88391921182,39.6663776009463
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3443.6435629805,35.6169753487965
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3430.7799225315,44.0571629600301
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3434.76952013063,40.5066377654376
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3433.7539964534,39.8470797597012
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3435.76101145272,36.26201412978
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3434.83639371939,40.6791511576211
FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3438.10047889919,36.7620415962102
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3437.60400755267,36.2653103216598
FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3438.98325802299,32.0843834091068
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,3430.55578146382,43.8459178676735
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,3433.87550563493,40.1332957075982
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3431.08361785553,39.3157100347488
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3432.64628386122,35.4303749845295
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,3445.26914397579,39.5854105349962
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,3449.0275845277,36.2102775918615
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3445.52344776758,35.3846275027268
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3446.58553381409,31.8672720547891
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3427.57422177482,39.8748401677965
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3432.0070206642,36.5457697027057
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3430.12876542336,35.6368648538717
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3432.19851993622,32.2549694717299
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3439.22433996757,35.7993391396108
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3443.08831034267,32.0474460217802
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3440.68451227316,31.7380766889576
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3441.74608204908,28.1850265012514
